# filename nbad nbailout ngaia ntot
202/tractor-2023m485.fits 1464 1464 1493 1686
202/tractor-2024m470.fits 3242 4263 3585 6124
202/tractor-2025m472.fits 3623 4644 3816 5201
202/tractor-2026m017.fits 362 1554 413 12023
203/tractor-2030m475.fits 2888 4972 3398 6750
203/tractor-2034m475.fits 1635 1635 1939 3962
204/tractor-2040m297.fits 811 966 884 1769
204/tractor-2040m300.fits 808 900 948 3225
204/tractor-2042m295.fits 692 1025 837 3600
204/tractor-2042m297.fits 1620 3054 1936 6751
204/tractor-2043m300.fits 1267 1487 1514 4627
204/tractor-2044m302.fits 554 735 889 9407
210/tractor-2105m162.fits 0 501 511 511
210/tractor-2106m147.fits 484 485 483 491
211/tractor-2111m150.fits 0 480 487 487
211/tractor-2113m147.fits 0 501 503 505
211/tractor-2113m162.fits 507 494 510 587
211/tractor-2116m150.fits 528 551 528 551
226/tractor-2261m837.fits 1518 7004 2359 8570
227/tractor-2279m840.fits 1480 3039 1850 4949
228/tractor-2282m835.fits 1292 2738 1960 7150
228/tractor-2283m837.fits 1679 1679 1725 2107
229/tractor-2298m842.fits 1548 1548 1628 2566
230/tractor-2302m840.fits 1696 2649 1844 3261
230/tractor-2303m835.fits 1703 2162 1840 3036
230/tractor-2306m837.fits 1647 1647 1683 2100
231/tractor-2312m827.fits 1437 4985 2381 9510
232/tractor-2325m835.fits 1644 1644 1691 2169
232/tractor-2325m840.fits 1473 2504 1715 3856
232/tractor-2327m832.fits 1644 1919 1750 2435
232/tractor-2328m837.fits 1611 1942 1672 2089
233/tractor-2330m830.fits 1651 2763 1881 4149
233/tractor-2332m827.fits 1702 1780 1795 2676
234/tractor-2346m835.fits 1545 1944 1630 2506
234/tractor-2347m842.fits 1375 3006 1777 5295
234/tractor-2348m832.fits 1664 3617 2035 5267
234/tractor-2349m840.fits 1554 3942 1909 4880
235/tractor-2350m830.fits 1771 6880 2302 7246
235/tractor-2351m837.fits 1592 1751 1639 2014
236/tractor-2367m835.fits 1590 5711 2167 7259
236/tractor-2368m832.fits 1758 1892 1830 2466
237/tractor-2370m827.fits 1707 3793 2060 5048
237/tractor-2370m830.fits 1689 9546 2579 10735
237/tractor-2373m837.fits 1648 2299 1881 3957
238/tractor-2389m832.fits 1779 1968 1841 2576
238/tractor-2389m835.fits 1731 2294 1882 3437
239/tractor-2390m830.fits 1667 1914 1813 3300
241/tractor-2410m832.fits 1623 7126 2398 9249
283/tractor-2834m497.fits 2580 2710 3306 7477
283/tractor-2834m502.fits 1925 2216 3233 10265
283/tractor-2835m500.fits 3234 3214 3299 3631
283/tractor-2838m495.fits 2871 18715 5790 22394
283/tractor-2838m497.fits 3228 3248 3267 3502
283/tractor-2838m502.fits 3071 3049 3078 3123
283/tractor-2838m505.fits 0 3025 3047 3047
283/tractor-2839m500.fits 3087 3067 3187 3677
284/tractor-2841m507.fits 2989 3188 3027 3205
284/tractor-2842m495.fits 0 3191 3216 3218
284/tractor-2842m497.fits 2989 2992 3157 4634
284/tractor-2842m502.fits 0 3108 3131 3131
284/tractor-2842m505.fits 2979 2955 2979 2981
284/tractor-2843m492.fits 3141 3204 3245 3770
284/tractor-2843m500.fits 3122 3110 3199 3520
284/tractor-2845m507.fits 3066 3045 3071 3111
284/tractor-2846m492.fits 3165 3649 3233 3676
284/tractor-2846m497.fits 3092 3733 3209 3829
284/tractor-2846m502.fits 3096 3190 3104 3204
284/tractor-2846m505.fits 0 3019 3035 3035
284/tractor-2847m500.fits 2978 2964 3021 3288
284/tractor-2849m495.fits 2896 3885 3164 4809
284/tractor-2849m507.fits 0 2898 2923 2924
285/tractor-2850m492.fits 2496 13028 4804 18343
285/tractor-2850m497.fits 1174 1294 3006 13674
285/tractor-2850m500.fits 3027 3038 3029 3055
285/tractor-2850m502.fits 0 2922 2963 2964
285/tractor-2850m505.fits 0 2909 2941 2942
285/tractor-2853m495.fits 0 3020 3039 3040
285/tractor-2853m502.fits 2873 2896 2995 3655
285/tractor-2853m507.fits 0 2882 2908 2908
285/tractor-2854m492.fits 3050 3046 3069 3222
285/tractor-2854m497.fits 3064 3150 3075 3177
285/tractor-2854m500.fits 2343 3485 3001 7351
285/tractor-2854m505.fits 0 2853 2881 2883
285/tractor-2857m495.fits 2927 2905 2967 3218
285/tractor-2857m502.fits 2778 2770 2792 2838
285/tractor-2857m507.fits 0 2759 2788 2788
285/tractor-2858m492.fits 0 2839 2854 2856
285/tractor-2858m497.fits 0 2898 2918 2918
285/tractor-2858m500.fits 0 2839 2870 2870
285/tractor-2858m505.fits 0 2778 2796 2796
286/tractor-2861m495.fits 0 2783 2809 2810
286/tractor-2861m497.fits 0 2772 2801 2802
286/tractor-2861m502.fits 2698 2662 2733 2941
286/tractor-2861m507.fits 575 575 2712 14513
286/tractor-2861m640.fits 1426 1426 1786 5765
286/tractor-2862m500.fits 0 2771 2812 2812
286/tractor-2862m505.fits 0 2717 2742 2743
286/tractor-2865m502.fits 2096 2513 2780 5834
286/tractor-2866m500.fits 2577 3117 2690 3351
287/tractor-2872m635.fits 1683 1673 1773 2727
287/tractor-2876m600.fits 44728 59208 59243 59247
290/tractor-2902m590.fits 970 1332 1545 5804
291/tractor-2910m307.fits 4827 17447 7042 17498
291/tractor-2915m312.fits 4318 16164 6123 16234
292/tractor-2922m315.fits 3994 12397 5409 12552
298/tractor-2989m310.fits 1579 2775 1918 5474
299/tractor-2991m297.fits 1666 2219 1966 5855
300/tractor-3002m197.fits 240 251 1840 11823
310/tractor-3104m342.fits 212 212 950 13547
322/tractor-3226m135.fits 283 4188 685 11395
330/tractor-3307m512.fits 1569 2102 790 3437
355/tractor-3558m547.fits 84 79 310 9864
