0892p592         194
0895p587         197
0900p595         152
0972p425          84
0972p502         921
0978p407        1013
0985p800          85
0989p645         390
0993p480         421
1002p570          33
1003p392          10
1009p470         117
1035p462         132
1039p380         630
1042p502         240
1044p407         191
1054p455          49
1091p485         119
1119p492         107
1121p410         104
1124p692         121
1216p432         118
1262p350          69
1271p567         128
1314p547         287
1315p540         174
1316p472         130
1318p352          32
1325p377         129
1353p427         471
1357p387         126
1363p377         166
1364p322         299
1365p357         298
1368p642          96
1420p412         104
1425p540          54
1428p352           2
1474p590         105
1506p562         114
1508p497         816
1510p347         941
1517p345         188
1517p352          60
1524p385           1
1549p455         122
1553p345         904
1563p372           1
1569p482          51
1573p350          61
1574p377           1
1575p560         348
1577p400         814
1577p472           2
1584p377        1012
1587p407          14
1590p397         218
1594p532          23
1604p347         353
1604p385           3
1610p397         455
1638p620           1
1640p335          76
1657p577         220
1672p490          98
1672p700           7
1678p557         169
1695p490         130
1712p387           1
1713p400           5
1714p342           2
1714p365           1
1714p367           2
1714p467           1
1714p470           1
1714p487           7
1714p490          12
1732p470           1
1750p475           3
1750p580           1
1753p387           2
1753p595           1
1754p370           4
1754p417           3
1756p392           6
1757p382           6
1759p402           1
1759p500           5
1759p585           3
1760p430           1
1760p482           4
1760p535           2
1762p397           6
1762p400           1
1763p380           1
1763p385           1
1763p440           2
1763p442           3
1763p495           1
1763p590           1
1764p355           1
1764p365        1111
1764p367           1
1764p477           2
1765p400           1
1767p357           2
1767p360           2
1767p370           1
1767p372           1
1767p375           1
1773p382           3
1787p477           1
1789p550           3
1789p552           1
1790p497           2
1790p500           7
1790p510           4
1790p675           2
1791p462           1
1792p320           2
1792p325           3
1824p400          60
1844p455         115
1862p390          45
1904p325          95
1904p410         118
1918p500           3
1922p602         114
1938p382           2
1968p362           1
1975p350          94
1981p440          85
1982p367         497
1984p362         213
1988p450        1087
1989p442         257
1991p367           4
1992p557          83
1993p400           2
2003p327         987
2003p352          66
2003p387         145
2016p460          64
2021p600        1012
2033p602          60
2040p355         145
2046p355        1260
2049p382           3
2050p545         134
2067p497         194
2072p492           1
2074p610         171
2076p325          61
2076p402          71
2103p350         159
2108p357        1791
2108p372           7
2108p645          92
2110p355         805
2111p642          85
2118p437         106
2119p487         555
2120p362         118
2121p537           1
2125p537           1
2132p517         108
2134p542         561
2139p527         837
2156p325           3
2159p532         884
2161p472          27
2173p390         150
2176p462           5
2180p385          61
2182p382           3
2213p327          88
2241p322           1
2263p385           2
2265p387           1
2266p557          85
2268p340           2
2268p362           7
2268p407           6
2268p425           1
2270p500           1
2272p337           2
2272p347           5
2272p547           2
2273p612           2
2274p330           3
2274p507           1
2275p412           1
2275p447           1
2275p477           3
2288p332          22
2291p332          49
2321p607         100
2328p407          86
2329p347         136
2335p342         131
2340p372         165
2353p415         108
2363p535         185
2371p342        1100
2376p345          65
2379p410         442
2381p557         425
2381p560           1
2383p477         732
2383p552        1122
2385p545          57
2392p362         404
2394p345         147
2403p400          39
2403p475         601
2405p457           2
2407p337           6
2407p537         119
2411p405          43
2458p337          23
2476p337         365
2476p342         105
2482p127          85
2508p347         337
2523p552          19
2523p595         769
2527p385         544
2625p327        1155
2680p400           2
2735p625           8
2749p680           9
2753p595           7
2790p395           2
2792p385           2
2797p335           1
2803p675           8
2811p612           6
2823p452           4
2828p530          11
2829p437           2
2831p462           8
2831p490           4
2832p435           3
2833p415           2
2834p575           3
2835p410           3
2835p492           4
2835p500           8
2836p562           2
2836p600           1
2837p457           4
2837p512           2
2838p407           3
2838p487           3
2838p550           3
2838p575           3
2838p672          17
2839p435           2
2839p670           6
2840p447           1
2842p470           2
2842p477           1
2843p707           5
2953p675           3
